Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	accepted
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	accepted
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	accepted
