Component	classification
ICA_00	accepted
ICA_01	accepted
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	accepted
ICA_13	rejected
ICA_14	accepted
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	accepted
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
