Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	accepted
ICA_50	rejected
ICA_51	rejected
ICA_52	rejected
ICA_53	accepted
ICA_54	rejected
ICA_55	rejected
ICA_56	accepted
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	rejected
ICA_61	rejected
ICA_62	rejected
ICA_63	rejected
ICA_64	rejected
ICA_65	rejected
ICA_66	accepted
ICA_67	accepted
ICA_68	rejected
ICA_69	accepted
ICA_70	rejected
ICA_71	rejected
ICA_72	rejected
ICA_73	rejected
ICA_74	rejected
ICA_75	accepted
ICA_76	rejected
ICA_77	rejected
ICA_78	accepted
ICA_79	rejected
ICA_80	rejected
ICA_81	rejected
ICA_82	rejected
