Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	rejected
ICA_17	accepted
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	accepted
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	accepted
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
