Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	accepted
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	accepted
ICA_25	rejected
ICA_26	accepted
ICA_27	accepted
ICA_28	accepted
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	accepted
ICA_38	accepted
