Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	accepted
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	accepted
ICA_31	accepted
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	accepted
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
