Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	accepted
ICA_48	rejected
ICA_49	rejected
ICA_50	accepted
ICA_51	accepted
