Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	accepted
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	accepted
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	accepted
ICA_18	accepted
ICA_19	accepted
ICA_20	accepted
ICA_21	accepted
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	accepted
ICA_30	rejected
ICA_31	rejected
ICA_32	accepted
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	accepted
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	rejected
ICA_47	accepted
ICA_48	accepted
ICA_49	accepted
ICA_50	rejected
ICA_51	accepted
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	accepted
ICA_58	rejected
ICA_59	rejected
ICA_60	accepted
ICA_61	accepted
ICA_62	rejected
ICA_63	rejected
ICA_64	rejected
ICA_65	accepted
ICA_66	accepted
ICA_67	rejected
ICA_68	rejected
ICA_69	rejected
ICA_70	rejected
ICA_71	rejected
ICA_72	rejected
