Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	accepted
ICA_03	accepted
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	accepted
ICA_09	accepted
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	accepted
ICA_21	accepted
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	accepted
ICA_26	accepted
ICA_27	rejected
ICA_28	accepted
ICA_29	accepted
ICA_30	accepted
ICA_31	accepted
ICA_32	accepted
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	accepted
ICA_38	accepted
ICA_39	accepted
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	rejected
ICA_46	accepted
ICA_47	rejected
ICA_48	rejected
ICA_49	accepted
ICA_50	accepted
ICA_51	rejected
ICA_52	accepted
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	accepted
ICA_57	rejected
ICA_58	rejected
ICA_59	accepted
ICA_60	rejected
ICA_61	rejected
ICA_62	accepted
ICA_63	accepted
ICA_64	rejected
ICA_65	rejected
ICA_66	rejected
ICA_67	rejected
ICA_68	rejected
