Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	accepted
ICA_03	accepted
ICA_04	accepted
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	accepted
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	rejected
ICA_21	accepted
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	accepted
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	accepted
ICA_36	rejected
ICA_37	accepted
ICA_38	accepted
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	accepted
ICA_46	rejected
ICA_47	accepted
ICA_48	rejected
ICA_49	accepted
ICA_50	accepted
ICA_51	rejected
ICA_52	accepted
ICA_53	accepted
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	accepted
ICA_58	rejected
ICA_59	rejected
ICA_60	rejected
ICA_61	accepted
