Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	accepted
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	accepted
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	accepted
ICA_26	rejected
ICA_27	accepted
ICA_28	accepted
ICA_29	accepted
ICA_30	accepted
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	accepted
ICA_42	rejected
ICA_43	accepted
ICA_44	accepted
ICA_45	accepted
ICA_46	rejected
ICA_47	rejected
ICA_48	accepted
ICA_49	accepted
ICA_50	rejected
ICA_51	accepted
ICA_52	accepted
ICA_53	accepted
ICA_54	rejected
ICA_55	accepted
ICA_56	accepted
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	rejected
ICA_61	rejected
ICA_62	rejected
