Component	classification
ICA_000	rejected
ICA_001	rejected
ICA_002	accepted
ICA_003	rejected
ICA_004	accepted
ICA_005	rejected
ICA_006	rejected
ICA_007	rejected
ICA_008	rejected
ICA_009	accepted
ICA_010	rejected
ICA_011	accepted
ICA_012	rejected
ICA_013	rejected
ICA_014	accepted
ICA_015	accepted
ICA_016	accepted
ICA_017	rejected
ICA_018	rejected
ICA_019	accepted
ICA_020	rejected
ICA_021	accepted
ICA_022	rejected
ICA_023	accepted
ICA_024	accepted
ICA_025	rejected
ICA_026	accepted
ICA_027	rejected
ICA_028	rejected
ICA_029	rejected
ICA_030	rejected
ICA_031	rejected
ICA_032	accepted
ICA_033	rejected
ICA_034	rejected
ICA_035	rejected
ICA_036	accepted
ICA_037	rejected
ICA_038	rejected
ICA_039	rejected
ICA_040	rejected
ICA_041	rejected
ICA_042	rejected
ICA_043	rejected
ICA_044	rejected
ICA_045	rejected
ICA_046	rejected
ICA_047	accepted
ICA_048	accepted
ICA_049	rejected
ICA_050	rejected
ICA_051	rejected
ICA_052	rejected
ICA_053	accepted
ICA_054	accepted
ICA_055	rejected
ICA_056	rejected
ICA_057	rejected
ICA_058	rejected
ICA_059	accepted
ICA_060	accepted
ICA_061	rejected
ICA_062	accepted
ICA_063	accepted
ICA_064	rejected
ICA_065	rejected
ICA_066	rejected
ICA_067	rejected
ICA_068	rejected
ICA_069	rejected
ICA_070	accepted
ICA_071	rejected
ICA_072	accepted
ICA_073	accepted
ICA_074	rejected
ICA_075	rejected
ICA_076	rejected
ICA_077	rejected
ICA_078	rejected
ICA_079	rejected
ICA_080	accepted
ICA_081	rejected
ICA_082	accepted
ICA_083	rejected
ICA_084	accepted
ICA_085	rejected
ICA_086	accepted
ICA_087	rejected
ICA_088	rejected
ICA_089	rejected
ICA_090	accepted
ICA_091	rejected
ICA_092	rejected
ICA_093	accepted
ICA_094	rejected
ICA_095	rejected
ICA_096	rejected
ICA_097	rejected
ICA_098	rejected
ICA_099	rejected
ICA_100	rejected
ICA_101	accepted
ICA_102	accepted
ICA_103	accepted
