Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	accepted
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	rejected
