Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	accepted
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
