Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	accepted
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	accepted
ICA_12	accepted
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
