Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	accepted
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	accepted
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	accepted
ICA_15	accepted
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	rejected
ICA_37	accepted
ICA_38	accepted
ICA_39	accepted
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
ICA_43	accepted
ICA_44	rejected
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	accepted
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
