Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	accepted
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	rejected
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	accepted
ICA_33	rejected
ICA_34	rejected
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	accepted
ICA_39	accepted
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	accepted
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	rejected
ICA_51	accepted
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
