Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	accepted
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	accepted
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	accepted
ICA_50	accepted
ICA_51	accepted
ICA_52	rejected
ICA_53	accepted
ICA_54	rejected
ICA_55	accepted
ICA_56	accepted
ICA_57	accepted
ICA_58	rejected
ICA_59	rejected
ICA_60	accepted
ICA_61	accepted
ICA_62	accepted
ICA_63	accepted
ICA_64	accepted
ICA_65	accepted
ICA_66	rejected
ICA_67	rejected
ICA_68	accepted
ICA_69	rejected
ICA_70	accepted
ICA_71	rejected
ICA_72	rejected
ICA_73	accepted
ICA_74	rejected
ICA_75	rejected
ICA_76	rejected
ICA_77	rejected
ICA_78	accepted
