Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	accepted
ICA_35	rejected
ICA_36	rejected
ICA_37	accepted
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	accepted
ICA_47	accepted
ICA_48	accepted
ICA_49	rejected
ICA_50	rejected
ICA_51	rejected
ICA_52	rejected
ICA_53	accepted
ICA_54	rejected
ICA_55	rejected
ICA_56	accepted
ICA_57	rejected
