Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	accepted
ICA_09	accepted
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	accepted
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	accepted
ICA_31	rejected
ICA_32	accepted
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
ICA_40	accepted
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	accepted
ICA_47	rejected
ICA_48	accepted
ICA_49	rejected
ICA_50	rejected
ICA_51	accepted
