Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	accepted
ICA_06	accepted
ICA_07	accepted
ICA_08	accepted
ICA_09	accepted
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	accepted
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	accepted
ICA_48	rejected
ICA_49	rejected
ICA_50	rejected
