Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	accepted
ICA_09	rejected
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	accepted
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
