Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	accepted
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	accepted
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	rejected
ICA_32	accepted
ICA_33	rejected
ICA_34	rejected
