Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	accepted
ICA_13	rejected
ICA_14	rejected
ICA_15	accepted
ICA_16	rejected
ICA_17	accepted
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	rejected
ICA_22	rejected
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	accepted
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	rejected
ICA_46	accepted
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	accepted
ICA_51	accepted
ICA_52	accepted
ICA_53	rejected
ICA_54	accepted
ICA_55	rejected
