Component	classification
ICA_00	accepted
ICA_01	accepted
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
