Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	accepted
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	accepted
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	accepted
ICA_44	accepted
ICA_45	rejected
ICA_46	accepted
ICA_47	rejected
ICA_48	accepted
ICA_49	accepted
ICA_50	accepted
ICA_51	rejected
