Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	accepted
ICA_13	accepted
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	accepted
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	accepted
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	accepted
ICA_38	accepted
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	accepted
ICA_44	accepted
ICA_45	accepted
ICA_46	rejected
ICA_47	rejected
ICA_48	accepted
ICA_49	accepted
ICA_50	accepted
ICA_51	rejected
ICA_52	accepted
