Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	accepted
ICA_20	accepted
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	accepted
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	accepted
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	accepted
ICA_56	rejected
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	accepted
ICA_61	accepted
ICA_62	accepted
ICA_63	rejected
ICA_64	accepted
ICA_65	rejected
ICA_66	rejected
ICA_67	rejected
