Component	classification
ICA_00	accepted
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	accepted
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	accepted
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	accepted
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	accepted
ICA_43	rejected
ICA_44	accepted
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	rejected
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	accepted
ICA_56	accepted
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	rejected
ICA_61	rejected
