Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	accepted
ICA_20	rejected
ICA_21	accepted
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	accepted
ICA_27	accepted
ICA_28	rejected
ICA_29	accepted
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	accepted
ICA_36	accepted
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	accepted
ICA_47	rejected
ICA_48	rejected
