Component	classification
ICA_00	accepted
ICA_01	accepted
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	accepted
ICA_06	rejected
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	accepted
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	accepted
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	accepted
ICA_47	accepted
ICA_48	rejected
ICA_49	rejected
ICA_50	rejected
ICA_51	accepted
ICA_52	accepted
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	rejected
ICA_58	rejected
ICA_59	accepted
ICA_60	rejected
ICA_61	accepted
ICA_62	accepted
ICA_63	rejected
ICA_64	rejected
ICA_65	rejected
ICA_66	accepted
