Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	rejected
ICA_06	rejected
ICA_07	rejected
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	accepted
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	accepted
ICA_22	rejected
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	rejected
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	accepted
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	accepted
ICA_39	accepted
ICA_40	rejected
ICA_41	accepted
ICA_42	rejected
ICA_43	accepted
ICA_44	rejected
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	accepted
ICA_49	accepted
ICA_50	rejected
ICA_51	accepted
ICA_52	accepted
ICA_53	rejected
ICA_54	accepted
ICA_55	accepted
ICA_56	accepted
ICA_57	accepted
ICA_58	rejected
ICA_59	accepted
ICA_60	accepted
ICA_61	accepted
ICA_62	accepted
ICA_63	accepted
ICA_64	rejected
ICA_65	rejected
