Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	accepted
ICA_06	rejected
ICA_07	rejected
ICA_08	accepted
ICA_09	rejected
ICA_10	accepted
ICA_11	accepted
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	accepted
ICA_32	accepted
ICA_33	rejected
ICA_34	accepted
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	accepted
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	rejected
ICA_48	rejected
ICA_49	rejected
ICA_50	rejected
