Component	classification
ICA_00	rejected
ICA_01	accepted
ICA_02	accepted
ICA_03	rejected
ICA_04	accepted
ICA_05	accepted
ICA_06	rejected
ICA_07	accepted
ICA_08	accepted
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	accepted
ICA_14	rejected
ICA_15	accepted
ICA_16	rejected
ICA_17	accepted
ICA_18	rejected
ICA_19	accepted
ICA_20	rejected
ICA_21	accepted
ICA_22	accepted
ICA_23	accepted
ICA_24	accepted
ICA_25	accepted
ICA_26	accepted
ICA_27	accepted
ICA_28	accepted
ICA_29	rejected
ICA_30	rejected
ICA_31	accepted
ICA_32	rejected
ICA_33	accepted
ICA_34	accepted
ICA_35	rejected
ICA_36	accepted
ICA_37	accepted
ICA_38	rejected
ICA_39	accepted
ICA_40	accepted
ICA_41	rejected
ICA_42	rejected
ICA_43	accepted
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	accepted
ICA_48	accepted
ICA_49	accepted
