Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	rejected
ICA_04	accepted
ICA_05	rejected
ICA_06	rejected
ICA_07	rejected
ICA_08	rejected
ICA_09	rejected
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	accepted
ICA_23	rejected
ICA_24	rejected
ICA_25	rejected
ICA_26	rejected
ICA_27	accepted
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	accepted
ICA_45	rejected
ICA_46	rejected
ICA_47	rejected
ICA_48	accepted
ICA_49	rejected
ICA_50	rejected
ICA_51	accepted
ICA_52	rejected
ICA_53	rejected
ICA_54	rejected
ICA_55	rejected
ICA_56	rejected
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	rejected
ICA_61	rejected
ICA_62	rejected
ICA_63	rejected
ICA_64	rejected
ICA_65	rejected
ICA_66	rejected
ICA_67	rejected
ICA_68	accepted
ICA_69	rejected
