Component	classification
ICA_00	accepted
ICA_01	accepted
ICA_02	rejected
ICA_03	rejected
ICA_04	rejected
ICA_05	accepted
ICA_06	accepted
ICA_07	accepted
ICA_08	rejected
ICA_09	rejected
ICA_10	accepted
ICA_11	rejected
ICA_12	accepted
ICA_13	rejected
ICA_14	rejected
ICA_15	accepted
ICA_16	accepted
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	rejected
ICA_22	rejected
ICA_23	rejected
ICA_24	accepted
ICA_25	rejected
ICA_26	accepted
ICA_27	rejected
ICA_28	rejected
ICA_29	rejected
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	rejected
ICA_37	accepted
ICA_38	accepted
ICA_39	rejected
ICA_40	rejected
ICA_41	rejected
ICA_42	rejected
ICA_43	rejected
ICA_44	rejected
ICA_45	accepted
ICA_46	rejected
ICA_47	accepted
