Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	accepted
ICA_03	rejected
ICA_04	rejected
ICA_05	rejected
ICA_06	rejected
ICA_07	accepted
ICA_08	accepted
ICA_09	accepted
ICA_10	rejected
ICA_11	rejected
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	accepted
ICA_21	accepted
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	accepted
ICA_27	accepted
ICA_28	rejected
ICA_29	rejected
ICA_30	accepted
ICA_31	rejected
ICA_32	rejected
ICA_33	accepted
ICA_34	rejected
ICA_35	rejected
ICA_36	accepted
ICA_37	rejected
ICA_38	accepted
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	accepted
ICA_44	rejected
