Component	classification
ICA_00	rejected
ICA_01	rejected
ICA_02	rejected
ICA_03	accepted
ICA_04	rejected
ICA_05	rejected
ICA_06	accepted
ICA_07	accepted
ICA_08	accepted
ICA_09	accepted
ICA_10	rejected
ICA_11	accepted
ICA_12	rejected
ICA_13	rejected
ICA_14	rejected
ICA_15	rejected
ICA_16	rejected
ICA_17	rejected
ICA_18	rejected
ICA_19	rejected
ICA_20	rejected
ICA_21	accepted
ICA_22	accepted
ICA_23	rejected
ICA_24	accepted
ICA_25	accepted
ICA_26	rejected
ICA_27	rejected
ICA_28	rejected
ICA_29	accepted
ICA_30	rejected
ICA_31	rejected
ICA_32	rejected
ICA_33	rejected
ICA_34	rejected
ICA_35	accepted
ICA_36	rejected
ICA_37	rejected
ICA_38	rejected
ICA_39	rejected
ICA_40	accepted
ICA_41	rejected
ICA_42	accepted
ICA_43	rejected
ICA_44	rejected
ICA_45	rejected
ICA_46	accepted
ICA_47	accepted
ICA_48	accepted
ICA_49	rejected
ICA_50	rejected
ICA_51	rejected
ICA_52	rejected
ICA_53	rejected
ICA_54	accepted
ICA_55	rejected
ICA_56	rejected
ICA_57	rejected
ICA_58	rejected
ICA_59	rejected
ICA_60	accepted
ICA_61	rejected
ICA_62	accepted
ICA_63	rejected
ICA_64	rejected
ICA_65	rejected
ICA_66	rejected
ICA_67	accepted
ICA_68	accepted
ICA_69	accepted
ICA_70	accepted
ICA_71	accepted
ICA_72	rejected
